27.6;683;28.0;469;11:7:36:82
26.8;672;26.8;672;11:7:41:180
28.1;483;26.1;453;11:7:46:256
26.1;453;26.0;447;11:7:52:345
26.0;447;26.0;447;11:7:54:390
26.1;446;27.7;661;11:8:1:489
27.7;661;28.1;496;11:8:3:533
28.1;496;25.7;450;11:8:8:610
26.0;452;26.0;452;11:8:13:687
22.9;593;22.9;593;11:8:16:742
28.0;488;27.1;639;11:8:21:818
27.9;475;27.3;645;11:8:25:884
27.9;472;27.9;472;11:8:27:929
25.9;446;25.9;446;11:8:33:6
25.7;449;27.3;619;11:8:40:103
27.3;619;27.9;488;11:8:42:147
27.3;641;27.3;641;11:8:46:212
27.9;466;27.9;466;11:8:48:256
25.8;455;27.1;645;11:8:55:355
28.0;492;25.9;458;11:9:1:443
27.1;643;27.1;643;11:9:5:509
27.8;470;27.8;470;11:9:7:554
27.4;645;28.2;482;11:9:11:620
28.2;482;26.7;628;11:9:16:697
27.9;481;25.7;437;11:9:22:784
27.1;643;28.0;486;11:9:27:862
25.8;446;25.8;446;11:9:32:939
27.2;671;27.7;470;11:9:38:17
27.7;470;27.2;641;11:9:43:94
27.8;483;27.1;657;11:9:49:184
27.1;657;27.9;479;11:9:51:231
26.7;650;26.7;650;11:9:55:296
27.7;499;25.8;451;11:10:0:372
25.8;451;27.1;670;11:10:5:450
